# eGADA: enhanced Genome Alteration Detection Algorithm
# Authors: Yu Huang polyactis@gmail.com, Roger Pique-Regi piquereg@usc.edu
# Parameters: a=0.5,T=5,MinSegLen=0,sigma2=0.207949,BaseAmp=0, convergenceDelta=1e-08, maxNoOfIterations=50000, convergenceMaxAlpha=1e+08, convergenceB=1e-20.
# Reading M=80000 probes in input file
# Overall mean 0.00135799
# Sigma^2=0.207949
# Convergence: delta=9.91983e-09 after 419 EM iterations.
# Found 625 breakpoints after SBL
# Kept 440 breakpoints after BE
# Estimating BaseAmp
# BaseAmp=0.00826098 
Start	Stop	Length	Ampl	State
1	25	12	-1.23032	L
26	75	49	-1.18705	L
76	125	55	-1.18373	L
126	175	46	-1.18363	L
176	225	6	-1.15588	L
226	275	33	-1.14816	L
276	326	90	-1.14726	L
327	375	43	-1.14227	L
376	427	80	-1.13944	L
428	477	11	-1.13921	L
478	528	19	-1.12605	L
529	579	50	-1.12238	L
580	629	50	-1.1168	L
630	680	51	-1.11525	L
681	731	72	-1.11055	L
732	782	62	-1.10337	L
783	833	57	-1.09796	L
834	884	98	-1.09621	L
885	935	32	-1.09376	L
936	987	116	-1.09361	L
988	1038	87	-1.09253	L
1039	1089	34	-1.09224	L
1090	1141	71	-1.09201	L
1142	1192	30	-1.09168	L
1193	1240	41	-1.08935	L
1241	1640	83	-1.08813	L
1641	1659	118	-1.08629	L
1660	1711	93	-1.08361	L
1712	1763	22	-1.08302	L
1764	1800	11	-1.08247	L
1801	2203	53	-1.08228	L
2204	2237	50	-1.08218	L
2238	2290	36	-1.08031	L
2291	3008	160	-1.07969	L
3009	3018	55	-1.07919	L
3019	3789	102	-1.078	L
3790	3806	71	-1.0763	L
3807	3861	179	-1.07237	L
3862	3916	128	-1.06977	L
3917	3972	68	-1.06759	L
3973	4027	84	-1.0647	L
4028	4083	95	-1.06343	L
4084	4138	103	-1.06334	L
4139	4194	143	-1.06156	L
4195	4213	56	-1.06105	L
4214	4614	43	-1.06017	L
4615	4644	7	-1.05904	L
4645	4701	58	-1.05859	L
4702	4757	51	-1.058	L
4758	4769	179	-1.05718	L
4770	5239	85	-1.05701	L
5240	5272	307	-1.05371	L
5273	5330	56	-1.05122	L
5331	5387	56	-1.04801	L
5388	5445	43	-1.04581	L
5446	5503	140	-1.04506	L
5504	5561	66	-1.043	L
5562	5619	89	-1.04258	L
5620	5677	69	-1.04246	L
5678	5715	93	-1.04233	L
5716	6116	60	-1.04006	L
6117	6147	85	-1.0391	L
6148	6206	44	-1.03878	L
6207	6265	53	-1.03811	L
6266	6325	58	-1.03637	L
6326	6384	87	-1.03628	L
6385	6445	96	-1.03626	L
6446	6503	58	-1.03536	L
6504	6563	73	-1.03524	L
6564	6623	73	-1.03387	L
6624	6677	47	-1.03378	L
6678	7243	97	-1.03344	L
7244	7289	52	-1.03298	L
7290	7350	67	-1.0328	L
7351	7411	50	-1.03237	L
7412	7473	61	-1.0314	L
7474	7534	121	-1.03026	L
7535	7595	86	-1.03018	L
7596	7658	104	-1.02847	L
7659	7719	119	-1.02838	L
7720	7733	58	-1.02794	L
7734	8299	49	-1.02712	L
8300	8345	86	-1.02538	L
8346	8408	58	-1.02376	L
8409	8472	67	-1.02256	L
8473	8496	100	-1.02187	L
8497	9290	83	-1.02162	L
9291	9307	54	-1.01934	L
9308	9373	126	-1.01866	L
9374	9388	94	-1.01856	L
9389	10049	55	-1.01777	L
10050	10100	19	-1.01729	L
10101	10167	87	-1.01609	L
10168	10234	43	-1.01537	L
10235	10241	146	-1.01504	L
10242	10641	305	-1.01393	L
10642	10653	50	-1.01346	L
10654	11323	6	-1.01343	L
11324	11329	51	-1.01337	L
11330	11399	130	-1.01264	L
11400	11469	64	-1.01124	L
11470	11539	17	-1.01017	L
11540	11609	71	-1.00843	L
11610	11680	61	-1.00825	L
11681	11751	114	-1.00797	L
11752	11821	63	-1.00766	L
11822	11893	121	-1.00765	L
11894	11964	33	-1.00655	L
11965	11988	68	-1.00502	L
11989	12389	8	-1.005	L
12390	12395	31	-1.0037	L
12396	12468	71	-1.00317	L
12469	12511	100	-1.00261	L
12512	13319	117	-1.00251	L
13320	13354	49	-1.00216	L
13355	13371	59	-1.00085	L
13372	15185	97	-1.00014	L
15186	15220	61	-0.995725	L
15221	15231	143	-0.994776	L
15232	16249	185	-0.994345	L
16250	16293	63	-0.994106	L
16294	16377	70	-0.993993	L
16378	16462	66	-0.993669	L
16463	16547	51	-0.993423	L
16548	16618	53	-0.992646	L
16619	17019	70	-0.992632	L
17020	17065	277	-0.992057	L
17066	17152	215	-0.991709	L
17153	17241	68	-0.990486	L
17242	17328	136	-0.990251	L
17329	17416	67	-0.988876	L
17417	17505	70	-0.988661	L
17506	17594	149	-0.988168	L
17595	17684	70	-0.987241	L
17685	17737	67	-0.986799	L
17738	18928	91	-0.98471	L
18929	18976	57	-0.983845	L
18977	18982	111	-0.982462	L
18983	19596	51	-0.981674	L
19597	19653	55	-0.981261	L
19654	19751	71	-0.980972	L
19752	19850	132	-0.97859	L
19851	19950	54	-0.9785	L
19951	20050	56	-0.977982	L
20051	20143	59	-0.976912	L
20144	20545	247	-0.975255	L
20546	20557	50	-0.973855	L
20558	20644	183	-0.973436	L
20645	21930	32	-0.96918	L
21931	21944	51	-0.966516	L
21945	22055	17	-0.965171	L
22056	22167	184	-0.961864	L
22168	22279	50	-0.95826	L
22280	22393	94	-0.957134	L
22394	22507	130	-0.957122	L
22508	22621	70	-0.956788	L
22622	22737	91	-0.955981	L
22738	22853	52	-0.952707	L
22854	22970	92	-0.949831	L
22971	23088	73	-0.946519	L
23089	23207	87	-0.94567	L
23208	23233	58	-0.942547	L
23234	24516	62	-0.940312	L
24517	24572	59	-0.939701	L
24573	24702	45	-0.938394	L
24703	24834	50	-0.937779	L
24835	24887	97	-0.936241	L
24888	25418	74	-0.930044	L
25419	25501	17	-0.929896	L
25502	25902	56	-0.929501	L
25903	25928	37	-0.920106	L
25929	26071	94	-0.917918	L
26072	26215	62	-0.914224	L
26216	26361	46	-0.913965	L
26362	26509	112	-0.906068	L
26510	26658	23	-0.904037	L
26659	26732	68	-0.893836	L
26733	27910	56	-0.881967	L
27911	27916	48	-0.864111	L
27917	28057	35	-0.84868	L
28058	28458	36	-0.838017	L
28459	28598	12	-0.823444	L
28599	28775	712	0.00826098	L
28776	28954	402	0.00826098	L
